Playing Time;;;;Performance;;;;;;;;;;Penalty Kicks;;;;;;
Squad;# Pl;MP;Starts;Min;90s;GA;GA90;SoTA;Saves;Save%;W;D;L;CS;CS%;PKatt;PKA;PKsv;PKm;Save%
Augsburg;1;27;27;2,43;27.0;50;Jan 85;117;74;62.4;9;4;14;5;18. Mai;7;6;1;0;14. Mrz
Bayern Munich;3;27;27;2,43;27.0;25;0.93;69;46;66.7;22;4;1;10;37.0;3;2;0;1;0.0
Dortmund;1;27;27;2,43;27.0;28;01. Apr;93;68;73.1;18;7;2;12;44.4;3;3;0;0;0.0
Eintracht Frankfurt;2;27;27;2,43;27.0;51;Jan 89;116;68;58.6;10;8;9;7;25. Sep;3;3;0;0;0.0
Freiburg;1;27;27;2,43;27.0;44;Jan 63;122;79;63.9;10;7;10;5;18. Mai;1;0;1;0;100.0
Gladbach;1;27;27;2,43;27.0;46;Jan 70;142;100;70.4;7;8;12;10;37.0;4;4;0;0;0.0
Hamburger SV;1;27;27;2,43;27.0;40;Jan 48;112;80;69.6;7;9;11;6;22. Feb;9;6;2;1;25.0
Heidenheim;2;27;27;2,43;27.0;61;Feb 26;146;90;61.6;3;6;18;0;0.0;6;5;0;1;0.0
Hoffenheim;1;27;27;2,43;27.0;39;Jan 44;115;80;69.6;15;5;7;6;22. Feb;5;4;0;1;0.0
Köln;1;27;27;2,43;27.0;47;Jan 74;118;76;62.7;6;8;13;3;11. Jan;5;3;2;0;40.0
Leverkusen;2;27;27;2,43;27.0;36;Jan 33;126;94;74.6;13;7;7;7;25. Sep;4;4;0;0;0.0
Mainz 05;3;27;27;2,428;27.0;42;Jan 56;133;93;69.9;7;9;11;3;11. Jan;2;2;0;0;0.0
RB Leipzig;2;27;27;2,43;27.0;35;Jan 30;99;66;66.7;15;5;7;10;37.0;3;2;1;0;33.3
St Pauli;1;27;27;2,43;27.0;44;Jan 63;135;95;68.9;6;6;15;5;18. Mai;4;2;2;0;50.0
Stuttgart;1;27;27;2,43;27.0;36;Jan 33;110;81;73.6;16;5;6;10;37.0;8;7;1;0;12. Mai
Union Berlin;2;27;27;2,43;27.0;46;Jan 70;118;76;66.1;8;7;12;6;22. Feb;6;6;0;0;0.0
Werder Bremen;2;27;27;2,43;27.0;47;Jan 74;128;86;67.2;7;7;13;6;22. Feb;5;5;0;0;0.0
Wolfsburg;1;27;27;2,43;27.0;57;02. Nov;143;94;63.6;5;6;16;1;03. Jul;9;5;3;1;37
