;;;;;;;;;;;;
Standard;;;;;;;;;;;;
Squad;# Pl;90s;Gls;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;PK;PKatt
Augsburg;29;27.0;33;342;120;35.1;Dez 67;Apr 44;0.09;0.25;3;4
Bayern Munich;30;27.0;94;515;234;45.4;19. Jul;Aug 67;0.16;0.35;11;11
Dortmund;25;27.0;57;365;133;36.4;13.52;Apr 93;0.14;0.38;6;9
Eintracht Frankfurt;28;27.0;50;311;118;37.9;Nov 52;Apr 37;0.15;0.39;4;4
Freiburg;24;27.0;37;344;117;34.0;Dez 74;Apr 33;0.09;0.27;5;6
Gladbach;28;27.0;31;308;111;36.0;Nov 41;04. Nov;0.09;0.24;4;7
Hamburger SV;28;27.0;31;327;124;37.9;12. Nov;Apr 59;0.09;0.23;3;5
Heidenheim;30;27.0;27;304;91;29. Sep;Nov 26;Mrz 37;0.08;0.27;2;2
Hoffenheim;26;27.0;50;374;141;37.7;13.85;Mai 22;0.12;0.33;4;4
Köln;27;27.0;37;346;116;33.5;Dez 81;Apr 30;0.10;0.31;1;1
Leverkusen;28;27.0;51;382;126;33.0;14.15;Apr 67;0.12;0.37;4;4
Mainz 05;30;27.0;33;307;100;32.6;Nov 37;Mrz 70;0.08;0.26;7;8
RB Leipzig;29;27.0;51;427;157;36.8;15.81;Mai 81;0.12;0.32;1;3
St Pauli;23;27.0;24;280;93;33.2;Okt 37;Mrz 44;0.07;0.22;4;5
Stuttgart;26;27.0;55;405;161;39.8;15.00;Mai 96;0.13;0.32;4;5
Union Berlin;24;27.0;31;323;93;28. Aug;Nov 96;Mrz 44;0.09;0.30;3;5
Werder Bremen;27;27.0;29;362;111;30. Jul;13.41;04. Nov;0.07;0.24;2;3
Wolfsburg;30;27.0;35;306;104;34.0;Nov 33;Mrz 85;0.10;0.31;3;
