Playing Time;;;;Performance;;;;;;;;Per 90 Minutes;;;;;;;;
Squad;# Pl;Age;Poss;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls;Ast;G+A;G-PK;G+A-PK
nl Ajax;27;25. Jan;53.9;8;88;720;8.0;8;5;13;6;2;2;13;1;1.00;0.62;Jan 62;0.75;Jan 37
eng Arsenal;29;26. Mai;53.4;10;110;900;10.0;26;20;46;24;2;2;21;0;Feb 60;2.00;Apr 60;Feb 40;Apr 40
it Atalanta;25;27. Mai;48.5;12;132;1,08;12.0;16;10;26;14;2;3;18;1;Jan 33;0.83;Feb 17;Jan 17;2.00
es Athletic Club;25;27. Feb;41.1;8;88;720;8.0;9;6;15;9;0;0;17;0;Jan 13;0.75;Jan 87;Jan 13;Jan 87
es Atlético Madrid;26;28.0;51.7;12;132;1,08;12.0;30;16;46;28;2;2;21;0;Feb 50;Jan 33;Mrz 83;Feb 33;Mrz 67
es Barcelona;24;25. Mai;63.5;10;110;900;10.0;29;21;50;25;4;4;20;1;Feb 90;02. Okt;5.00;Feb 50;Apr 60
de Bayern Munich;25;27. Sep;60.9;10;110;900;10.0;31;23;54;28;3;4;19;2;03. Okt;Feb 30;Mai 40;Feb 80;05. Okt
pt Benfica;24;26. Mrz;44.9;10;110;900;10.0;11;6;17;10;1;2;16;0;01. Okt;0.60;Jan 70;1.00;Jan 60
no Bodø/Glimt;22;27. Feb;45.8;12;132;1,11;12. Mrz;22;14;36;20;2;4;17;1;Jan 78;Jan 14;Feb 92;Jan 62;Feb 76
eng Chelsea;27;24. Apr;54.7;10;110;900;10.0;16;11;27;13;3;3;15;1;Jan 60;01. Okt;Feb 70;Jan 30;Feb 40
be Club Brugge;26;25.0;47.0;10;110;900;10.0;19;14;33;19;0;0;12;0;Jan 90;Jan 40;Mrz 30;Jan 90;Mrz 30
de Dortmund;22;26. Jul;53.6;10;110;900;10.0;22;17;39;20;2;4;15;3;Feb 20;Jan 70;Mrz 90;2.00;Mrz 70
de Eintracht Frankfurt;25;25. Sep;39.4;8;88;720;8.0;9;7;16;8;1;1;8;0;Jan 13;0.87;2.00;1.00;Jan 87
dk FC Copenhagen;22;26. Aug;39.8;8;88;720;8.0;11;6;17;10;1;2;19;1;Jan 37;0.75;02. Dez;Jan 25;2.00
kz FC Kairat;25;26. Aug;43.1;8;88;720;8.0;7;5;12;6;1;1;16;0;0.87;0.62;Jan 50;0.75;Jan 37
tr Galatasaray;23;28. Sep;50.3;12;132;1,11;12. Mrz;16;8;24;13;3;3;23;1;Jan 30;0.65;Jan 95;01. Mai;Jan 70
it Inter;22;29. Mrz;57.4;10;110;900;10.0;17;10;27;16;1;1;15;0;Jan 70;1.00;Feb 70;Jan 60;Feb 60
it Juventus;24;26. Mai;47.7;10;110;930;10. Mrz;19;13;32;18;1;1;20;2;Jan 84;Jan 26;03. Okt;Jan 74;3.00
de Leverkusen;26;26. Jul;52.3;12;132;1,08;12.0;14;9;23;13;1;2;18;1;Jan 17;0.75;Jan 92;01. Aug;Jan 83
eng Liverpool;23;27. Mrz;55.4;10;110;900;10.0;23;19;42;22;1;2;12;0;Feb 30;Jan 90;Apr 20;Feb 20;04. Okt
;;;;Playing Time;;;;Performance;;;;;;;;Per 90 Minutes;;;;
Squad;# Pl;Age;Poss;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls;Ast;G+A;G-PK;G+A-PK
eng Manchester City;26;25. Aug;58.7;10;110;900;10.0;16;12;28;15;1;1;17;2;Jan 60;Jan 20;Feb 80;Jan 50;Feb 70
fr Marseille;24;28. Jul;55.4;8;88;720;8.0;11;10;21;11;0;0;19;1;Jan 37;Jan 25;Feb 62;Jan 37;Feb 62
