Playing Time;;;;Performance;;;;;;;;;;Penalty Kicks;;;;;;
Squad;# Pl;MP;Starts;Min;90s;GA;GA90;SoTA;Saves;Save%;W;D;L;CS;CS%;PKatt;PKA;PKsv;PKm;Save%
Alavés;1;29;29;2,61;29.0;41;Jan 41;114;77;67.5;8;7;14;3;10. Mrz;4;4;0;0;0.0
Athletic Club;1;29;29;2,61;29.0;41;Jan 41;116;79;67.2;11;5;13;5;17. Feb;4;3;1;0;25.0
Atlético Madrid;2;29;29;2,61;29.0;28;0.97;93;67;72.0;17;6;6;12;41.4;3;2;0;1;0.0
Barcelona;2;29;29;2,61;29.0;28;0.97;103;79;75.7;24;1;4;12;41.4;4;3;1;0;25.0
Celta Vigo;1;29;29;2,61;29.0;35;Jan 21;112;82;71.4;10;11;8;8;27. Jun;8;3;2;3;40.0
Elche;2;29;29;2,61;29.0;46;Jan 59;133;92;69.2;6;11;12;6;20. Jul;6;5;0;1;0.0
Espanyol;1;29;29;2,61;29.0;44;Jan 52;135;96;71.1;10;7;12;7;24. Jan;5;5;0;0;0.0
Getafe;1;29;29;2,61;29.0;31;01. Jul;124;93;75.8;11;5;13;8;27. Jun;1;1;0;0;0.0
Girona;3;29;29;2,608;29.0;44;Jan 52;144;105;72.9;8;10;11;5;17. Feb;6;5;0;1;0.0
Levante;2;29;29;2,61;29.0;48;Jan 66;154;110;70.8;6;8;15;5;17. Feb;4;3;1;0;25.0
Mallorca;2;29;29;2,61;29.0;47;Jan 62;136;95;69.1;7;7;15;3;10. Mrz;6;5;1;0;16. Jul
Osasuna;1;29;29;2,61;29.0;35;Jan 21;124;96;77.4;10;7;12;7;24. Jan;7;7;0;0;0.0
Oviedo;1;29;29;2,61;29.0;48;Jan 66;166;124;73.5;4;9;16;7;24. Jan;6;4;2;0;33.3
Rayo Vallecano;1;29;29;2,61;29.0;35;Jan 21;108;78;72.2;7;11;11;8;27. Jun;5;5;0;0;0.0
Real Betis;2;29;29;2,61;29.0;37;Jan 28;123;89;70.7;11;11;7;8;27. Jun;4;1;2;1;66.7
Real Madrid;2;29;29;2,61;29.0;26;0.90;85;63;74.1;22;3;4;11;37.9;4;4;0;0;0.0
Real Sociedad;1;29;29;2,61;29.0;45;Jan 55;115;75;65.2;10;8;11;2;06. Sep;5;5;0;0;0.0
Sevilla;2;29;29;2,61;29.0;49;Jan 69;120;81;66.7;8;7;14;5;17. Feb;11;9;1;1;10.0
Valencia;2;29;29;2,61;29.0;42;Jan 45;114;78;68.4;9;8;12;8;27. Jun;7;6;1;0;14. Mrz
Villarreal;2;29;29;2,61;29.0;34;Jan 17;98;71;71.4;18;4;7;8;27. Jun;7;6;1;0;14. Mrz
