;;;;;;;;;;;;
Standard;;;;;;;;;;;;
Squad;# Pl;90s;Gls;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;PK;PKatt
Alavés;28;29.0;28;344;114;33.1;Nov 86;Mrz 93;0.07;0.20;5;5
Athletic Club;27;29.0;31;411;136;33.1;14.17;Apr 69;0.06;0.19;5;6
Atlético Madrid;28;29.0;45;396;162;40.9;13.66;Mai 59;0.11;0.27;2;3
Barcelona;28;29.0;77;570;208;36.5;19.66;Jul 17;0.12;0.34;6;9
Celta Vigo;30;29.0;40;314;120;38.2;Okt 83;Apr 14;0.11;0.28;7;7
Elche;32;29.0;36;323;114;35.3;Nov 14;Mrz 93;0.11;0.30;2;3
Espanyol;23;29.0;35;375;124;33.1;Dez 93;Apr 28;0.09;0.26;3;4
Getafe;32;29.0;25;275;84;30. Mai;Sep 48;Feb 90;0.08;0.27;2;3
Girona;32;29.0;31;303;116;38.3;Okt 45;4.00;0.08;0.22;6;7
Levante;30;29.0;34;339;101;29. Aug;Nov 69;Mrz 48;0.09;0.32;2;3
Mallorca;27;29.0;34;304;118;38.8;Okt 48;04. Jul;0.10;0.25;5;7
Osasuna;23;29.0;33;335;107;31.9;Nov 55;Mrz 69;0.09;0.27;4;5
Oviedo;30;29.0;20;286;93;32.5;Sep 86;Mrz 21;0.06;0.19;2;3
Rayo Vallecano;26;29.0;28;387;132;34.1;13.34;Apr 55;0.06;0.19;3;4
Real Betis;28;29.0;43;422;139;32.9;14.55;Apr 79;0.10;0.29;2;2
Real Madrid;33;29.0;63;524;200;38.2;18. Jul;Jun 90;0.10;0.26;12;14
Real Sociedad;32;29.0;44;371;139;37.5;Dez 79;Apr 79;0.10;0.27;6;6
Sevilla;33;29.0;35;327;109;33.3;Nov 28;Mrz 76;0.09;0.28;4;5
Valencia;26;29.0;32;329;87;26. Apr;Nov 34;3.00;0.08;0.31;5;8
Villarreal;29;29.0;53;356;135;37.9;Dez 28;Apr 66;0.14;0.37;3;
