Playing Time;;;;Performance;;;;;;;;Per 90 Minutes;;;;;;;;
Squad;# Pl;Age;Poss;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;Gls;Ast;G+A;G-PK;G+A-PK
Alavés;28;28.0;50.3;29;319;2,61;29.0;28;17;45;23;5;5;71;5;0.97;0.59;Jan 55;0.79;Jan 38
Athletic Club;27;28. Jan;48.6;29;319;2,61;29.0;31;20;51;26;5;6;66;6;01. Jul;0.69;Jan 76;0.90;Jan 59
Atlético Madrid;28;28. Feb;55.2;29;319;2,61;29.0;45;30;75;43;2;3;55;2;Jan 55;01. Mrz;Feb 59;Jan 48;Feb 52
Barcelona;28;25. Mrz;68.8;29;319;2,61;29.0;77;57;134;71;6;9;43;2;Feb 66;Jan 97;Apr 62;Feb 45;Apr 41
Celta Vigo;30;26. Aug;50.6;29;319;2,61;29.0;40;26;66;33;7;7;55;1;Jan 38;0.90;Feb 28;Jan 14;02. Mrz
Elche;32;27. Mrz;58.4;29;319;2,61;29.0;36;25;61;34;2;3;60;3;Jan 24;0.86;02. Okt;Jan 17;02. Mrz
Espanyol;23;28. Jan;43.1;29;319;2,61;29.0;35;24;59;32;3;4;64;4;Jan 21;0.83;02. Mrz;01. Okt;Jan 93
Getafe;32;29. Mrz;39.8;29;319;2,61;29.0;25;21;46;23;2;3;82;6;0.86;0.72;Jan 59;0.79;Jan 52
Girona;32;27. Sep;49.8;29;319;2,61;29.0;31;23;54;25;6;7;63;7;01. Jul;0.79;Jan 86;0.86;Jan 66
Levante;30;26. Jul;41.7;29;319;2,61;29.0;34;19;53;32;2;3;65;4;Jan 17;0.66;Jan 83;01. Okt;Jan 76
Mallorca;27;28. Mai;45.2;29;319;2,61;29.0;34;22;56;29;5;7;67;4;Jan 17;0.76;Jan 93;1.00;Jan 76
Osasuna;23;28. Jul;45.3;29;319;2,61;29.0;33;25;58;29;4;5;68;5;Jan 14;0.86;2.00;1.00;Jan 86
Oviedo;30;28. Jul;44.5;29;319;2,61;29.0;20;14;34;18;2;3;65;8;0.69;0.48;Jan 17;0.62;01. Okt
Rayo Vallecano;26;29. Jun;53.5;29;319;2,61;29.0;28;19;47;25;3;4;79;8;0.97;0.66;Jan 62;0.86;Jan 52
Real Betis;28;28. Apr;50.3;29;319;2,61;29.0;43;29;72;41;2;2;56;1;Jan 48;1.00;Feb 48;Jan 41;Feb 41
Real Madrid;33;26.0;59.2;29;319;2,61;29.0;63;44;107;51;12;14;53;6;Feb 17;Jan 52;Mrz 69;Jan 76;Mrz 28
Real Sociedad;32;26. Jun;50.2;29;319;2,61;29.0;44;27;71;38;6;6;59;3;Jan 52;0.93;Feb 45;Jan 31;Feb 24
Sevilla;33;27. Aug;53.4;29;319;2,61;29.0;35;25;60;31;4;5;82;4;Jan 21;0.86;02. Jul;01. Jul;Jan 93
Valencia;26;27. Jun;49.3;29;319;2,61;29.0;32;22;54;27;5;8;57;2;01. Okt;0.76;Jan 86;0.93;Jan 69
Villarreal;29;26. Aug;43.6;29;319;2,61;29.0;53;36;89;50;3;3;63;3;Jan 83;Jan 24;03. Jul;Jan 72;2.
